532,1,27,0
9510,1,88,0
13331,0,15,0
17310,1,83,0
66493,0,83,0
86312,0,66,0
89229,0,14,0
100487,0,18,0
108588,0,96,0
110278,0,99,0
110856,0,96,0
126152,1,75,0
133462,0,56,0
138617,0,3,0
143385,0,10,0
146475,0,53,0
152263,0,18,0
184095,0,83,0
222017,0,61,0
223005,0,2,0
223333,0,86,0
228519,1,49,0
228678,1,26,0
240238,0,78,0
242432,1,91,0
263777,0,36,0
269782,0,42,0
271594,0,34,0
273756,1,55,0
287298,0,2,0
296271,1,62,0
320530,1,86,0
333118,1,33,0
335036,0,67,0
343551,1,3,0
365827,1,65,0
367451,1,90,0
375066,0,62,0
381145,0,15,0
381604,1,92,0
391439,1,49,0
393302,0,46,0
408984,0,98,0
411107,0,50,0
413683,1,51,0
415421,0,66,0
417982,1,10,0
418295,0,26,0
422187,1,96,0
434026,1,77,0
434379,1,13,0
435504,0,99,0
435612,1,11,0
454465,0,28,0
454939,1,75,0
482084,0,87,0
484559,1,94,0
520478,0,45,0
529545,1,4,0
530134,0,50,0
544311,0,44,0
555534,1,72,0
557801,0,26,0
577005,0,13,0
585927,1,83,0
601272,1,14,0
614008,0,21,0
636343,0,0,0
637771,0,41,0
663044,0,82,0
663346,0,54,0
670142,0,16,0
677923,1,28,0
685724,0,76,0
691367,1,38,0
693631,0,25,0
696477,0,100,0
707284,1,34,0
724033,0,10,0
728330,0,21,0
736882,1,72,0
742813,1,82,0
744903,1,64,0
749804,1,73,0
752653,1,34,0
763407,0,15,0
764182,0,15,0
793567,1,63,0
797481,0,23,0
799517,0,83,0
799633,0,97,0
820059,1,55,0
821904,0,62,0
828113,0,6,0
829785,0,66,0
838393,0,86,0
853660,0,36,0
864872,1,19,0
869821,0,36,0
874309,0,4,0
890195,0,92,0
908825,1,12,0
921567,0,38,0
954557,0,64,0
979506,1,99,0
983476,1,16,0
990571,1,86,0
996933,1,87,0
1005352,0,46,0
1025831,1,26,0
