2264,1125,498,239,117,57,30,17,10,7,5,4,3,1,1,0,0,0,0,0,0,
2450,1242,513,271,131,67,51,19,15,8,6,5,3,2,1,0,0,0,0,0,,
2112,1148,511,240,117,58,30,20,11,8,6,4,3,2,1,0,0,0,0,,,
2257,1291,522,242,120,57,31,18,10,7,5,4,3,1,1,0,1,0,,,,
3166,1042,496,251,121,57,31,17,10,7,5,4,2,1,1,0,0,,,,,
2233,1060,502,244,118,60,32,17,10,7,5,4,3,2,1,1,,,,,,
3020,1739,927,305,144,68,42,21,13,9,7,5,3,2,2,,,,,,,
2435,1408,591,282,126,73,48,21,12,8,7,5,3,2,,,,,,,,
2612,1251,510,242,119,60,30,19,11,9,6,5,3,,,,,,,,,
2533,1212,523,238,116,59,30,19,11,8,6,5,,,,,,,,,,
2910,1192,515,244,124,58,30,19,11,13,6,,,,,,,,,,,
